source_id,doi,channel,condition,drug,cell_id,t_s,value,unit,fs_Hz,imaging_modality,file_origin
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row15,1200.0,262565.722756616,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row16,1200.0,296027.025963439,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row16,1200.0,248069.652448198,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row16,1200.0,308521.652153659,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row16,1200.0,266315.798171834,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row17,1200.0,314178.063277922,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row17,1200.0,301382.853471302,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row17,1200.0,331388.068807732,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row17,1200.0,298112.640876026,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row18,1200.0,291030.278981065,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
